"SYMBOL","ENTREZID"
"STX12","23673"
"PPP1R8","5511"
"THEMIS2","9473"
"RPA2","6118"
"SMPDL3B","27293"
"XKR8","55113"
"EYA3","2140"
"PTAFR","5724"
"DNAJC8","22826"
"ATP5IF1","93974"
"SESN2","83667"
"MED18","54797"
"PHACTR4","65979"
"RCC1","1104"
"TRNAU1AP","54952"
"SNHG12","85028"
"TAF12","6883"
"RAB42","115273"
"GMEB1","10691"
"YTHDF2","51441"
"EPB41","2035"
"TMEM200B","399474"
"SRSF4","6429"
"MECR","51102"
"PTPRU","10076"
"MATN1","4146"
"MATN1-AS1","100129196"
"LAPTM5","7805"
"LINC01778","105378622"
"SDC3","9672"
"PUM1","9698"
"NKAIN1","79570"
"SNRNP40","9410"
"ZCCHC17","51538"
"FABP3","2170"
"SERINC2","347735"
"TINAGL1","64129"
"PEF1","553115"
"COL16A1","1307"
"ADGRB2","576"
"SPOCD1","90853"
"PTP4A2","8073"
"KHDRBS1","10657"
"TMEM39B","55116"
"KPNA6","23633"
"TXLNA","200081"
"CCDC28B","79140"
"IQCC","55721"
"TMEM234","56063"
"EIF3I","8668"
"FAM167B","84734"
"LCK","3932"
"HDAC1","3065"
"MARCKSL1","65108"
"TSSK3","81629"
"FAM229A","100128071"
"BSDC1","55108"
"ZBTB8B","728116"
"ZBTB8A","653121"
"ZBTB8OS","339487"
"RBBP4","5928"
"SYNC","81493"
"S100PBP","64766"
"FNDC5","252995"
"HPCA","3208"
"TMEM54","113452"
"RNF19B","127544"
"AK2","204"
"AZIN2","113451"
"TRIM62","55223"
"ZNF362","149076"
"PHC2","1912"
"ZSCAN20","7579"
"CSMD2","114784"
"C1orf94","84970"
"SMIM12","113444"
"GJB5","2709"
"GJB3","2707"
"GJA4","2701"
"DLGAP3","58512"
"ZMYM6","9204"
"ZMYM1","79830"
"SFPQ","6421"
"ZMYM4","9202"
"KIAA0319L","79932"
"NCDN","23154"
"TFAP2E","339488"
"PSMB2","5690"
"C1orf216","127703"
"CLSPN","63967"
"AGO4","192670"
"AGO1","26523"
"AGO3","192669"
"TEKT2","27285"
"COL8A2","1296"
"TRAPPC3","27095"
"MAP7D1","55700"
"THRAP3","9967"
"SH3D21","79729"
"EVA1B","55194"
"STK40","83931"
"LSM10","84967"
"OSCP1","127700"
"MRPS15","64960"
"CSF3R","1441"
"ZC3H12A","80149"
"MEAF6","64769"
"SNIP1","79753"
"DNALI1","7802"
"GNL2","29889"
"RSPO1","284654"
"CDCA8","55143"
"EPHA10","284656"
"MANEAL","149175"
"YRDC","79693"
"C1orf122","127687"
"MTF1","4520"
"INPP5B","3633"
"SF3A3","10946"
"FHL3","2275"
"UTP11","51118"
"POU3F1","5453"
"RRAGC","64121"
"MYCBP","26292"
"RHBDL2","54933"
"AKIRIN1","79647"
"NDUFS5","4725"
"MACF1","23499"
"PABPC4","8761"
"HEYL","26508"
"PPIE","10450"
"BMP8B","656"
"OXCT2","64064"
"TRIT1","54802"
"MYCL","4610"
"MFSD2A","84879"
"CAP1","10487"
"PPT1","5538"
"RLF","6018"
"ZMPSTE24","10269"
"COL9A2","1298"
"SMAP2","64744"
"ZFP69B","65243"
"ZFP69","339559"
"EXO5","64789"
"ZNF684","127396"
"RIMS3","9783"
"NFYC-AS1","100130557"
"NFYC","4802"
"KCNQ4","9132"
"CITED4","163732"
"CTPS1","1503"
"SLFNL1-AS1","100507178"
"SLFNL1","200172"
"SCMH1","22955"
"FOXO6","100132074"
"EDN2","1907"
"HIVEP3","59269"
"FOXJ3","22887"
"RIMKLA","284716"
"ZMYND12","84217"
"PPCS","79717"
"CCDC30","728621"
"PPIH","10465"
"YBX1","4904"
"P3H1","64175"
"C1orf50","79078"
"TMEM269","100129924"
"SVBP","374969"
"ERMAP","114625"
"ZNF691","51058"
"SLC2A1","6513"
"EBNA1BP2","10969"
"TMEM125","128218"
"C1orf210","149466"
"TIE1","7075"
"MPL","4352"
"CDC20","991"
"ELOVL1","64834"
"MED8","112950"
"SZT2","23334"
"HYI","81888"
"PTPRF","5792"
"KDM4A","9682"
"KDM4A-AS1","100132774"
"ST3GAL3","6487"
"ARTN","9048"
"IPO13","9670"
"DPH2","1802"
"ATP6V0B","533"
"B4GALT2","8704"
"CCDC24","149473"
"SLC6A9","6536"
"DMAP1","55929"
"ERI3","79033"
"RNF220","55182"
"TMEM53","79639"
"ARMH1","339541"
"KIF2C","11004"
"RPS8","6202"
"BEST4","266675"
"PLK3","1263"
"BTBD19","149478"
"PTCH2","8643"
"EIF2B3","8891"
"HECTD3","79654"
"UROD","7389"
"ZSWIM5","57643"
"LINC01144","400752"
"HPDL","84842"
"MUTYH","4595"
"TOE1","114034"
"TESK2","10420"
"CCDC163","126661"
"MMACHC","25974"
"PRDX1","5052"
"AKR1A1","10327"
"NASP","4678"
"CCDC17","149483"
"GPBP1L1","60313"
"TMEM69","51249"
"IPP","3652"
"MAST2","23139"
"PIK3R3","8503"
"TSPAN1","10103"
"POMGNT1","55624"
"LURAP1","541468"
"RAD54L","8438"
"LRRC41","10489"
"UQCRH","7388"
"NSUN4","387338"
"FAAH","2166"
"DMBX1","127343"
"MKNK1","8569"
"MOB3C","148932"
"ATPAF1","64756"
"EFCAB14","9813"
"CYP4X1","260293"
"CYP4A22-AS1","105378701"
"LINC00853","100874253"
"PDZK1IP1","10158"
"TAL1","6886"
"STIL","6491"
"CMPK1","51727"
"LINC01389","102724077"
"FOXE3","2301"
"FOXD2-AS1","84793"
"FOXD2","2306"
"SPATA6","54558"
"AGBL4","84871"
"BEND5","79656"
"ELAVL4","1996"
"DMRTA2","63950"
"FAF1","11124"
"CDKN2C","1031"
"RNF11","26994"
"TTC39A","22996"
"TTC39A-AS1","102724097"
"EPS15","2060"
"OSBPL9","114883"
"NRDC","4898"
"RAB3B","5865"
"TXNDC12","51060"
"KTI12","112970"
"BTF3L4","91408"
"ZFYVE9","9372"
"CC2D1B","200014"
"ORC1","4998"
"PRPF38A","84950"
"TUT4","23318"
"GPX7","2882"
"SHISAL2A","348378"
"COA7","65260"
"ZYG11B","79699"
"ZYG11A","440590"
"ECHDC2","55268"
"SCP2","6342"
"PODN","127435"
"CPT2","1376"
"MAGOH","4116"
"LRP8","7804"
"DMRTB1","63948"
"GLIS1","148979"
"NDC1","55706"
"YIPF1","54432"
"DIO1","1733"
"LRRC42","115353"
"LDLRAD1","388633"
"TMEM59","9528"
"TCEANC2","127428"
"CYB5RL","606495"
"MRPL37","51253"
"SSBP3","23648"
"ACOT11","26027"
"TTC4","7268"
"PARS2","25973"
"TTC22","55001"
"DHCR24","1718"
"TMEM61","199964"
"BSND","7809"
"USP24","23358"
"PLPP3","8613"
"PRKAA2","5563"
"FYB2","199920"
"OMA1","115209"
"TACSTD2","4070"
"MYSM1","114803"
"JUN","3725"
"LINC01358","101926925"
"FGGY","55277"
"HOOK1","51361"
"CYP2J2","1573"
"NFIA","4774"
"TM2D1","83941"
"PATJ","10207"
"L1TD1","54596"
"KANK4","163782"
"USP1","7398"
"DOCK7","85440"
"ATG4C","84938"
"FOXD3-AS1","100996301"
"FOXD3","27022"
"ALG6","29929"
"ITGB3BP","23421"
"EFCAB7","84455"
"PGM1","5236"
"ROR1","4919"
"CACHD1","57685"
"RAVER2","55225"
"JAK1","3716"
"AK4","205"
"DNAJC6","9829"
"LEPROT","54741"
"LEPR","3953"
"PDE4B","5142"
"SGIP1","84251"
"MIER1","57708"
"SLC35D1","23169"
"IL12RB2","3595"
"SERBP1","26135"
"GADD45A","1647"
"GNG12","55970"
"DIRAS3","9077"
"WLS","79971"
"RPE65","6121"
"DEPDC1","55635"
"DEPDC1-AS1","101927220"
"LRRC7","57554"
"LRRC40","55631"
"SRSF11","9295"
"ANKRD13C","81573"
"CTH","1491"
"PTGER3","5733"
"ZRANB2-AS1","100132618"
"ZRANB2","9406"
"NEGR1","257194"
"LRRIQ3","127255"
"FPGT","8790"
"FPGT-TNNI3K","100526835"
"CRYZ","1429"
"TYW3","127253"
"SLC44A5","204962"
"ACADM","34"
"RABGGTB","5876"
"MSH4","4438"
"ST6GALNAC3","256435"
"ST6GALNAC5","81849"
"PIGK","10026"
"AK5","26289"
"USP33","23032"
"MIGA1","374986"
"NEXN-AS1","374987"
"NEXN","91624"
"FUBP1","8880"
"DNAJB4","11080"
"PTGFR","5737"
"IFI44L","10964"
"IFI44","10561"
"ADGRL4","64123"
"LINC01781","101927412"
"ADGRL2","23266"
"LINC01725","101927587"
"TTLL7","79739"
"PRKACB","5567"
"SAMD13","148418"
"RPF1","80135"
"GNG5","2787"
"SPATA1","100505741"
"CTBS","1486"
"SSX2IP","117178"
"LPAR3","23566"
"MCOLN2","255231"
"MCOLN3","55283"
"SYDE2","84144"
"C1orf52","148423"
"BCL10","8915"
"DDAH1","23576"
"ZNHIT6","54680"
"COL24A1","255631"
"ODF2L","57489"
"CLCA2","9635"
"SH3GLB1","51100"
"SELENOF","9403"
"HS2ST1","9653"
"LINC01140","339524"
"LMO4","8543"
"PKN2","5586"
"GTF2B","2959"
"KYAT3","56267"
"RBMXL1","494115"
"GBP3","2635"
"GBP1","2633"
"GBP2","2634"
"GBP7","388646"
"GBP4","115361"
"GBP5","115362"
"GBP6","163351"
"LRRC8B","23507"
"LRRC8C-DT","400761"
"LRRC8C","84230"
"LRRC8D","55144"
"ZNF326","284695"
"LINC01763","105378854"
"ZNF644","84146"
"CDC7","8317"
"TGFBR3","7049"
"BRDT","676"
"EPHX4","253152"
"SETSIP","646817"
"BTBD8","284697"
"GLMN","11146"
"RPAP2","79871"
"GFI1","2672"
"EVI5","7813"
"RPL5","6125"
"MTF2","22823"
"TMED5","50999"
"CCDC18","343099"
"DR1","1810"
"FNBP1L","54874"
"BCAR3","8412"
"DNTTIP2","30836"
"GCLM","2730"
"ABCA4","24"
"ARHGAP29","9411"
"ABCD3","5825"
"F3","2152"
"SLC44A3","126969"
"CNN3","1266"
"ALG14","199857"
"RWDD3","25950"
"PTBP2","58155"
"DPYD","1806"
"SNX7","51375"
"PLPPR5","163404"
"PLPPR4","9890"
"PALMD","54873"
"AGL","178"
"SLC35A3","23443"
"SASS6","163786"
"TRMT13","54482"
"LRRC39","127495"
"DBT","1629"
"RTCA-AS1","100506007"
"RTCA","8634"
"CDC14A","8556"
"VCAM1","7412"
"EXTL2","2135"
"SLC30A7","148867"
"DPH5","51611"
"S1PR1","1901"
"OLFM3","118427"
"COL11A1","1301"
"RNPC3","55599"
"AMY2B","280"
"PRMT6","55170"
"NTNG1","22854"
"VAV3","10451"
"SLC25A24","29957"
"HENMT1","113802"
"PRPF38B","55119"
"FNDC7","163479"
"STXBP3","6814"
"AKNAD1","254268"
"SPATA42","642864"
"GPSM2","29899"
"CLCC1","23155"
"WDR47","22911"
"TAF13","6884"
"TMEM167B","56900"
"CELSR2","1952"
"PSRC1","84722"
"SORT1","6272"
"PSMA5","5686"
"ATXN7L2","127002"
"CYB561D1","284613"
"AMIGO1","57463"
"GNAI3","2773"
"AMPD2","271"
"GSTM4","2948"
"GSTM2","2946"
"GSTM3","2947"
"CSF1","1435"
"AHCYL1","10768"
"STRIP1","85369"
"ALX3","257"
"UBL4B","164153"
"SLC6A17","388662"
"KCNC4","3749"
"RBM15","64783"
"SLC16A4","9122"
"LAMTOR5","10542"
"KCNA3","3738"
"CD53","963"
"LRIF1","55791"
"DRAM2","128338"
"CEPT1","10390"
"DENND2D","79961"
"CHI3L2","1117"
"CHIA","27159"
"OVGP1","5016"
"WDR77","79084"
"ATP5PB","515"
"C1orf162","128346"
"TMIGD3","57413"
"ADORA3","140"
"RAP1A","5906"
"DDX20","11218"
"KCND3","3752"
"LINC01750","643355"
"CTTNBP2NL","55917"
"WNT2B","7482"
"ST7L","54879"
"CAPZA1","829"
"MOV10","4343"
"RHOC","389"
"PPM1J","333926"
"SLC16A1","6566"
"SLC16A1-AS1","100506392"
"LRIG2","9860"
"MAGI3","260425"
"PHTF1","10745"
"RSBN1","54665"
"PTPN22","26191"
"AP4B1-AS1","100287722"
"BCL2L15","440603"
"AP4B1","10717"
"DCLRE1B","64858"
"HIPK1-AS1","101928846"
"HIPK1","204851"
"OLFML3","56944"
"SYT6","148281"
"TRIM33","51592"
"BCAS2","10286"
"DENND2C","163259"
"NRAS","4893"
"CSDE1","7812"
"SIKE1","80143"
"TSPAN2","10100"
"NGF","4803"
"VANGL1","81839"
"CASQ2","845"
"SLC22A15","55356"
"ATP1A1","476"
"CD58","965"
"IGSF3","3321"
"CD2","914"
"PTGFRN","5738"
"CD101","9398"
"TTF2","8458"
"TRIM45","80263"
"VTCN1","79679"
"MAN1A2","10905"
"TENT5C","54855"
"GDAP2","54834"
"WDR3","10885"
"SPAG17","200162"
"TBX15","6913"
"WARS2","10352"
"ZNF697","90874"
"PHGDH","26227"
"NOTCH2","4853"
"SEC22B","9554"
"NBPF26","101060684"
"LINC00623","728855"
"FAM72B","653820"
"SRGAP2C","653464"
"FAM72C","554282"
"NBPF15","284565"
"SRGAP2B","647135"
"FAM72D","728833"
"NBPF20","100288142"
"GPR89A","653519"
"PDZK1","5174"
"CD160","11126"
"RNF115","27246"
"POLR3C","10623"
"NUDT17","200035"
"PIAS3","10401"
"ANKRD35","148741"
"ITGA10","8515"
"PEX11B","8799"
"RBM8A","9939"
"LIX1L-AS1","105371260"
"LIX1L","128077"
"ANKRD34A","284615"
"POLR3GL","84265"
"TXNIP","10628"
"LINC01719","101928979"
"NBPF10","100132406"
"NBPF12","149013"
"PRKAB2","5565"
"FMO5","2330"
"CHD1L","9557"
"BCL9","607"
"ACP6","51205"
"GJA5","2702"
"GPR89B","51463"
"NBPF11","200030"
"PPIAL4G","644591"
"NBPF14","25832"
"NUDT4B","440672"
"PDE4DIP","9659"
"NBPF9","400818"
"NBPF19","101060226"
"FCGR1A","2209"
"BOLA1","51027"
"SV2A","9900"
"SF3B4","10262"
"MTMR11","10903"
"OTUD7B","56957"
"VPS45","11311"
"PLEKHO1","51177"
"ANP32E","81611"
"APH1A","51107"
"C1orf54","79630"
"CIART","148523"
"MRPS21","54460"
"PRPF3","9129"
"RPRD2","23248"
"TARS2","80222"
"ECM1","1893"
"FALEC","100874054"
"ADAMTSL4","54507"
"MCL1","4170"
"ENSA","2029"
"GOLPH3L","55204"
"HORMAD1","84072"
"CTSS","1520"
"CTSK","1513"
"ARNT","405"
"SETDB1","9869"
"CERS2","29956"
"ANXA9","8416"
"MINDY1","55793"
"PRUNE1","58497"
"BNIPL","149428"
"C1orf56","54964"
"CDC42SE1","56882"
"MLLT11","10962"
"GABPB2","126626"
"SEMA6C","10500"
"TNFAIP8L2","79626"
"SCNM1","79005"
"LYSMD1","388695"
"VPS72","6944"
"PIP5K1A","8394"
"PSMD4","5710"
"ZNF687","57592"
"PI4KB","5298"
"RFX5","5993"
"SELENBP1","8991"
"PSMB4","5692"
"POGZ","23126"
"CGN","57530"
"TUFT1","7286"
"SNX27","81609"
"MRPL9","65005"
"OAZ3","51686"
"TDRKH","11022"
"TDRKH-AS1","109729141"
"RORC","6097"
"C2CD4D","100191040"
"THEM4","117145"
"S100A10","6281"
"S100A11","6282"
"TCHH","7062"
"SPRR1A","6698"
"SPRR1B","6699"
"SPRR2D","6703"
"SPRR2A","6700"
"SPRR2E","6704"
"PGLYRP4","57115"
"S100A9","6280"
"S100A12","6283"
"S100A8","6279"
"S100A7","6278"
"S100A6","6277"
"S100A5","6276"
"S100A4","6275"
"S100A3","6274"
"S100A2","6273"
"S100A16","140576"
"S100A14","57402"
"S100A13","6284"
"S100A1","6271"
"CHTOP","26097"
"SNAPIN","23557"
"ILF2","3608"
"NPR1","4881"
"INTS3","65123"
"SLC27A3","11000"
"GATAD2B","57459"
"DENND4B","9909"
"CRTC2","200186"
"SLC39A1","27173"
"CREB3L4","148327"
"JTB","10899"
"RAB13","5872"
"RPS27","6232"
"TPM3","7170"
"UBAP2L","9898"
"HAX1","10456"
"AQP10","89872"
"ATP8B2","57198"
"IL6R-AS1","101928101"
"IL6R","3570"
"SHE","126669"
"TDRD10","126668"
"UBE2Q1","55585"
"CHRNB2","1141"
"ADAR","103"
"KCNN3","3782"
"PMVK","10654"
"PBXIP1","57326"
"PYGO2","90780"
"SHC1","6464"
"CKS1B","1163"
"FLAD1","80308"
"ZBTB7B","51043"
"DCST2","127579"
"DCST1","149095"
"DCST1-AS1","100505666"
"ADAM15","8751"
"EFNA4","1945"
"EFNA3","1944"
"EFNA1","1942"
"SLC50A1","55974"
"DPM3","54344"
"KRTCAP2","200185"
"TRIM46","80128"
"MUC1","4582"
"THBS3","7059"
"MTX1","4580"
"SCAMP3","10067"
"CLK2","1196"
"HCN3","57657"
"FDPS","2224"
"RUSC1-AS1","284618"
"RUSC1","23623"
"ASH1L","55870"
"ASH1L-AS1","645676"
"MSTO1","55154"
"YY1AP1","55249"
"DAP3","7818"
"GON4L","54856"
"SYT11","23208"
"RIT1","6016"
"KHDC4","22889"
"ARHGEF2","9181"
"SSR2","6746"
"UBQLN4","56893"
"LAMTOR2","28956"
"RAB25","57111"
"MEX3A","92312"
"LMNA","4000"
"SEMA4A","64218"
"SLC25A44","9673"
"PMF1-BGLAP","100527963"
"PMF1","11243"
"BGLAP","632"
"PAQR6","79957"
"SMG5","23381"
"TMEM79","84283"
"GLMP","112770"
"CCT3","7203"
"TSACC","128229"
"RHBG","57127"
"MEF2D","4209"
"IQGAP3","128239"
"NAXE","128240"
"GPATCH4","54865"
"NES","10763"
"CRABP2","1382"
"ISG20L2","81875"
"MRPL24","79590"
"HDGF","3068"
"PRCC","5546"
"SH2D2A","9047"
"NTRK1","4914"
"PEAR1","375033"
"ARHGEF11","9826"
"ETV3L","440695"
"ETV3","2117"
"FCRL5","83416"
"FCRL3","115352"
"FCRL2","79368"
"FCRL1","115350"
"KIRREL1","55243"
"CD1D","912"
"CD1A","909"
"CD1C","911"
"CD1B","910"
"CD1E","913"
"MNDA","4332"
"PYHIN1","149628"
"IFI16","3428"
"AIM2","9447"
"CADM3","57863"
"CADM3-AS1","100131825"
"ACKR1","2532"
"FCER1A","2205"
"DUSP23","54935"
"FCRL6","343413"
"SLAMF8","56833"
"VSIG8","391123"
"CFAP45","25790"
"TAGLN2","8407"
"IGSF9","57549"
"SLAMF9","89886"
"LINC01133","100505633"
"KCNJ10","3766"
"PIGM","93183"
"IGSF8","93185"
"ATP1A2","477"
"PEA15","8682"
"DCAF8","50717"
"PEX19","5824"
"COPA","1314"
"NCSTN","23385"
"NHLH1","4807"
"VANGL2","57216"
"SLAMF6","114836"
"CD84","8832"
"SLAMF1","6504"
"CD48","962"
"SLAMF7","57823"
"LY9","4063"
"CD244","51744"
"F11R","50848"
"TSTD1","100131187"
"USF1","7391"
"ARHGAP30","257106"
"NECTIN4","81607"
"KLHDC9","126823"
"PFDN2","5202"
"NIT1","4817"
"DEDD","9191"
"UFC1","51506"
"USP21","27005"
"PPOX","5498"
"B4GALT3","8703"
"ADAMTS4","9507"
"NDUFS2","4720"
"FCER1G","2207"
"TOMM40L","84134"
"NR1I3","9970"
"PCP4L1","654790"
"MPZ","4359"
"SDHC","6391"
"FCGR2A","2212"
"HSPA6","3310"
"FCGR3A","2214"
"FCGR2B","2213"
"FCRLA","84824"
"FCRLB","127943"
"DUSP12","11266"
"ATF6","22926"
"OLFML2B","25903"
"NOS1AP","9722"
"C1orf226","400793"
"SH2D1B","117157"
"UHMK1","127933"
"UAP1","6675"
"DDR2","4921"
"HSD17B7","51478"
"RGS4","5999"
"RGS5","8490"
"NUF2","83540"
"PBX1","5087"
"LRRC52","440699"
"MGST3","4259"
"ALDH9A1","223"
"TMCO1","54499"
"UCK2","7371"
"FAM78B","149297"
"LINC01675","105371590"
"POGK","57645"
"TADA1","117143"
"ILDR2","387597"
"GPA33","10223"
"POU2F1","5451"
"CD247","919"
"CREG1","8804"
"RCSD1","92241"
"MPZL1","9019"
"ADCY10","55811"
"MPC2","25874"
"DCAF6","55827"
"GPR161","23432"
"TIPRL","261726"
"SFT2D2","375035"
"TBX19","9095"
"XCL2","6846"
"XCL1","6375"
"DPT","1805"
"ATP1B1","481"
"NME7","29922"
"BLZF1","8548"
"SLC19A2","10560"
"F5","2153"
"SELP","6403"
"SELL","6402"
"SELE","6401"
"METTL18","92342"
"SCYL3","57147"
"KIFAP3","22920"
"GORAB","92344"
"PRRX1","5396"
"FMO3","2328"
"FMO2","2327"
"FMO1","2326"
"FMO4","2329"
"PRRC2C","23215"
"VAMP4","8674"
"METTL13","51603"
"DNM3","26052"
"DNM3OS","100628315"
"PIGC","5279"
"SUCO","51430"
"FASLG","356"
"TNFSF18","8995"
"TNFSF4","7292"
